age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
69,Private,233354,HS-grad,13,Divorced,Exec,Husband,Asian,Female,2196,469,9,Canada,<=50K
21,Self-emp,24016,HS-grad,15,Married,Exec,Husband,Asian,Female,789,1724,62,Canada,<=50K
43,Private,297166,HS-grad,6,Divorced,Service,Wife,White,Male,3475,3985,47,Mexico,<=50K
28,Private,242034,HS-grad,11,Divorced,Tech,Not-in-family,White,Male,9856,1631,5,Mexico,<=50K
19,Private,37938,Bachelors,9,Divorced,Admin,Husband,Black,Female,1309,774,76,India,<=50K
31,Private,184750,Some-college,11,Married,Exec,Husband,Black,Male,864,3012,1,United-States,<=50K
61,Government,390315,Masters,4,Married,Tech,Husband,Black,Male,5389,2503,44,India,<=50K
47,Private,270710,Masters,2,Single,Exec,Husband,Asian,Female,3363,1486,22,Canada,<=50K
66,Private,242320,Masters,14,Divorced,Admin,Wife,White,Male,8215,4019,38,Mexico,<=50K
29,Private,333864,Masters,2,Single,Exec,Wife,Other,Male,3003,4227,19,India,<=50K
43,Government,377658,Bachelors,5,Single,Service,Own-child,Asian,Male,8502,929,31,India,<=50K
61,Private,197877,PhD,10,Married,Service,Own-child,Other,Female,1231,3012,67,Mexico,<=50K
50,Private,477539,Some-college,9,Married,Exec,Husband,White,Female,7959,1505,42,Mexico,<=50K
30,Government,143058,HS-grad,12,Single,Tech,Not-in-family,Asian,Female,2711,4729,26,Mexico,<=50K
31,Government,86478,PhD,3,Divorced,Tech,Husband,Other,Male,6581,2944,13,Canada,<=50K
41,Government,486210,Masters,8,Married,Tech,Not-in-family,Other,Female,7705,2819,58,Mexico,<=50K
51,Private,415377,PhD,4,Divorced,Exec,Husband,Black,Male,421,1184,18,United-States,<=50K
61,Government,423905,Some-college,6,Divorced,Tech,Own-child,Black,Male,9965,288,67,India,<=50K
43,Government,137101,HS-grad,10,Single,Admin,Own-child,Black,Male,946,1811,3,Mexico,<=50K
38,Private,366843,HS-grad,6,Single,Service,Not-in-family,Asian,Female,9378,527,55,Mexico,<=50K
45,Government,201996,Some-college,3,Single,Admin,Husband,White,Female,1834,916,58,Canada,<=50K
65,Private,371417,Some-college,14,Single,Tech,Not-in-family,White,Female,1564,1708,63,Canada,>50K
53,Self-emp,215380,Masters,5,Married,Admin,Own-child,Black,Female,7332,3574,52,India,<=50K
57,Government,242200,HS-grad,12,Married,Tech,Husband,Black,Male,4944,3319,24,United-States,<=50K
19,Self-emp,73745,PhD,3,Single,Exec,Husband,Black,Female,1308,1406,72,India,<=50K
59,Private,142283,Bachelors,11,Married,Admin,Not-in-family,Other,Male,2986,1241,9,Mexico,<=50K
26,Government,403445,Bachelors,15,Single,Exec,Wife,Black,Female,386,3133,37,United-States,<=50K
40,Private,391116,Some-college,11,Divorced,Exec,Not-in-family,Other,Female,6131,798,53,United-States,<=50K
32,Self-emp,451758,Masters,15,Divorced,Sales,Own-child,White,Female,9353,1523,24,United-States,<=50K
30,Private,417561,Bachelors,1,Divorced,Tech,Own-child,Asian,Male,3258,4107,21,United-States,<=50K
40,Government,111489,HS-grad,7,Single,Service,Own-child,Asian,Male,6121,4928,40,India,<=50K
34,Government,41819,Some-college,4,Divorced,Tech,Own-child,Asian,Male,4811,2888,62,Canada,<=50K
65,Self-emp,57779,PhD,14,Married,Service,Own-child,Asian,Male,6574,2690,70,Canada,>50K
19,Private,223493,Some-college,7,Divorced,Tech,Wife,Other,Male,6697,4091,69,Mexico,<=50K
37,Government,364388,PhD,3,Divorced,Exec,Husband,Other,Female,3933,1241,14,Canada,<=50K
37,Self-emp,75584,Some-college,12,Divorced,Admin,Not-in-family,Black,Male,1439,690,42,Canada,<=50K
63,Government,423166,Some-college,15,Married,Admin,Not-in-family,Other,Male,6169,527,50,Canada,>50K
20,Government,156245,Some-college,15,Single,Sales,Own-child,Black,Male,4480,1495,61,Canada,<=50K
29,Private,258815,PhD,11,Married,Service,Not-in-family,Black,Male,55,3825,4,Mexico,<=50K
57,Government,330176,PhD,5,Single,Service,Own-child,Asian,Female,3324,2893,72,India,<=50K
19,Private,387218,Some-college,5,Single,Service,Wife,Other,Male,6777,892,75,United-States,<=50K
53,Government,371417,Bachelors,15,Divorced,Exec,Wife,Other,Female,105,386,17,Canada,<=50K
31,Self-emp,300180,Masters,13,Single,Service,Husband,Black,Female,3201,1249,57,India,<=50K
33,Government,264957,Masters,2,Married,Admin,Wife,Black,Female,669,2528,48,Canada,<=50K
36,Private,81356,Masters,11,Married,Exec,Wife,White,Male,8934,4503,44,Canada,<=50K
51,Private,155364,PhD,10,Single,Tech,Husband,White,Female,966,3528,45,United-States,<=50K
61,Self-emp,13052,PhD,12,Divorced,Service,Not-in-family,Black,Male,307,897,33,United-States,<=50K
63,Government,316521,Bachelors,2,Divorced,Service,Own-child,White,Male,2138,710,31,United-States,<=50K
23,Government,492533,Masters,4,Married,Tech,Own-child,White,Male,109,3695,47,Canada,<=50K
30,Self-emp,208910,Masters,15,Divorced,Service,Not-in-family,Black,Male,3632,2686,6,Canada,<=50K
53,Government,339963,Some-college,4,Single,Tech,Husband,Black,Male,6728,4512,72,Canada,<=50K
39,Government,385833,PhD,4,Single,Exec,Not-in-family,Other,Female,5684,415,71,United-States,<=50K
35,Private,156692,Masters,6,Married,Admin,Wife,Black,Female,6499,1471,34,Mexico,<=50K
29,Government,40461,Bachelors,2,Single,Tech,Husband,Black,Male,1915,4180,53,India,<=50K
69,Government,292894,Bachelors,6,Married,Sales,Husband,Asian,Female,556,4262,14,Mexico,<=50K
47,Self-emp,491935,Masters,7,Single,Tech,Husband,Other,Male,7619,2431,16,Canada,<=50K
68,Self-emp,19472,PhD,11,Married,Service,Own-child,Other,Female,104,2515,43,Canada,>50K
57,Private,341407,Bachelors,10,Divorced,Exec,Not-in-family,Other,Female,2047,1095,73,Mexico,<=50K
24,Government,122036,Some-college,3,Single,Exec,Husband,Asian,Female,145,809,74,Canada,<=50K
49,Government,198674,Bachelors,11,Single,Tech,Husband,Black,Female,873,3044,12,India,<=50K
65,Government,297667,HS-grad,12,Married,Admin,Husband,Other,Female,298,992,70,Canada,>50K
36,Private,171838,HS-grad,8,Married,Sales,Not-in-family,Other,Male,3238,1281,19,India,<=50K
23,Private,375406,PhD,2,Single,Exec,Own-child,White,Male,8837,4370,41,Mexico,<=50K
37,Self-emp,76060,Masters,11,Married,Service,Wife,Other,Female,6382,1773,53,Mexico,<=50K
44,Private,281223,PhD,8,Single,Service,Own-child,Black,Male,2511,3561,29,Canada,<=50K
60,Government,149471,PhD,13,Divorced,Admin,Husband,Black,Female,6596,3816,70,India,>50K
54,Government,332870,PhD,11,Married,Exec,Own-child,White,Male,783,1756,59,Canada,>50K
65,Private,365050,PhD,5,Single,Tech,Own-child,Other,Female,4992,2373,64,United-States,<=50K
24,Government,288676,Some-college,2,Divorced,Service,Wife,Other,Female,370,2576,24,United-States,<=50K
22,Government,394833,Some-college,7,Divorced,Admin,Not-in-family,Other,Female,486,891,16,United-States,<=50K
28,Private,485573,Bachelors,14,Single,Exec,Not-in-family,Asian,Male,7378,4184,52,United-States,<=50K
32,Private,53162,HS-grad,2,Married,Exec,Own-child,Other,Male,3196,707,6,Canada,<=50K
20,Government,406965,PhD,14,Single,Exec,Own-child,Black,Female,9552,2397,37,United-States,<=50K
22,Government,283497,Bachelors,6,Divorced,Exec,Not-in-family,Black,Female,4287,4482,4,India,<=50K
40,Government,122313,HS-grad,10,Single,Exec,Not-in-family,Asian,Male,2261,2134,38,Mexico,<=50K
54,Self-emp,38477,Masters,3,Married,Service,Wife,Asian,Male,9148,2354,41,Mexico,<=50K
26,Self-emp,165642,Some-college,9,Divorced,Admin,Husband,Other,Male,8572,4535,14,United-States,<=50K
32,Self-emp,96373,HS-grad,3,Single,Exec,Own-child,White,Male,238,976,71,United-States,<=50K
20,Private,414653,Masters,11,Married,Sales,Not-in-family,Asian,Male,6843,734,51,United-States,<=50K
46,Self-emp,179176,HS-grad,15,Divorced,Sales,Own-child,Asian,Female,1105,2468,65,Canada,>50K
23,Private,204442,Some-college,12,Married,Admin,Own-child,Other,Male,1386,2540,52,Mexico,<=50K
34,Private,14551,Some-college,12,Divorced,Tech,Not-in-family,Other,Female,9719,632,30,United-States,<=50K
43,Self-emp,78359,Bachelors,3,Single,Tech,Wife,Asian,Female,1667,4268,57,India,<=50K
38,Self-emp,458096,PhD,5,Married,Tech,Own-child,White,Male,2691,4099,79,United-States,<=50K
25,Self-emp,153988,HS-grad,7,Divorced,Sales,Wife,Asian,Male,7756,2901,30,Mexico,<=50K
38,Government,136150,HS-grad,14,Married,Tech,Not-in-family,Other,Female,1996,1663,42,United-States,<=50K
28,Self-emp,483919,Masters,8,Married,Service,Husband,Other,Male,1425,2015,11,Mexico,<=50K
55,Government,182517,Some-college,12,Single,Exec,Husband,Asian,Female,8023,3181,27,United-States,<=50K
25,Private,319780,HS-grad,11,Married,Sales,Own-child,White,Male,6849,4063,24,India,<=50K
59,Government,477143,Some-college,7,Divorced,Admin,Not-in-family,Asian,Male,3247,2630,39,United-States,<=50K
41,Self-emp,481410,HS-grad,9,Divorced,Admin,Wife,Asian,Male,2592,3872,72,India,<=50K
52,Private,301829,Bachelors,5,Divorced,Exec,Own-child,Other,Female,1490,1054,18,India,<=50K
31,Private,323278,PhD,10,Divorced,Sales,Not-in-family,White,Male,1224,380,77,United-States,<=50K
31,Private,361060,HS-grad,11,Single,Tech,Not-in-family,Black,Female,2587,3082,45,India,<=50K
27,Government,117967,Some-college,15,Married,Tech,Wife,White,Male,7714,2391,12,Canada,<=50K
29,Self-emp,104455,Bachelors,3,Single,Service,Own-child,Asian,Female,3064,1592,49,United-States,<=50K
55,Private,268835,HS-grad,6,Married,Service,Not-in-family,Asian,Male,7804,4261,31,United-States,<=50K
61,Private,471063,Masters,5,Married,Tech,Not-in-family,Asian,Female,832,2747,22,India,<=50K
63,Private,443209,PhD,12,Married,Admin,Not-in-family,White,Female,2440,2389,44,India,>50K
51,Government,185405,HS-grad,4,Single,Admin,Wife,Other,Female,4795,3553,64,United-States,<=50K
58,Government,249646,Bachelors,12,Married,Service,Own-child,Asian,Female,1646,3027,77,Canada,>50K
27,Self-emp,199937,Masters,2,Single,Exec,Own-child,Asian,Female,440,1207,25,India,<=50K
34,Government,482312,Bachelors,7,Divorced,Tech,Own-child,White,Female,5956,3853,51,India,<=50K
34,Private,321900,Bachelors,13,Divorced,Service,Own-child,Black,Male,9721,544,7,Mexico,<=50K
20,Self-emp,395007,Masters,5,Married,Service,Husband,Black,Female,2367,3081,6,Canada,<=50K
48,Private,71192,Bachelors,4,Single,Tech,Husband,Other,Female,6696,3663,24,Canada,<=50K
68,Private,201758,Masters,12,Divorced,Tech,Own-child,Other,Female,5190,2239,19,United-States,<=50K
18,Government,320877,HS-grad,14,Single,Admin,Wife,Asian,Male,4663,2367,9,Canada,<=50K
29,Self-emp,245161,Masters,8,Single,Exec,Husband,White,Male,7062,3773,36,United-States,<=50K
56,Government,298137,Masters,9,Married,Exec,Not-in-family,Asian,Male,4331,2627,40,Mexico,<=50K
21,Government,171564,PhD,9,Divorced,Tech,Husband,Other,Female,9496,3931,24,Canada,<=50K
59,Self-emp,162053,Masters,3,Married,Sales,Not-in-family,White,Male,3034,2474,48,India,<=50K
30,Private,296287,Masters,3,Married,Service,Own-child,White,Male,9377,3130,63,Mexico,<=50K
51,Private,480819,HS-grad,5,Divorced,Service,Husband,Other,Female,3262,3507,69,United-States,<=50K
59,Self-emp,492668,PhD,5,Divorced,Tech,Wife,Black,Female,2107,96,53,Mexico,<=50K
38,Private,201349,Some-college,10,Single,Sales,Husband,Black,Male,7036,3858,54,United-States,<=50K
39,Self-emp,117044,HS-grad,2,Divorced,Admin,Husband,White,Female,4320,2708,42,Mexico,<=50K
21,Self-emp,191062,HS-grad,1,Single,Tech,Husband,Asian,Female,5938,3336,45,United-States,<=50K
35,Government,138406,Some-college,8,Single,Tech,Own-child,Black,Female,2747,456,14,Canada,<=50K
22,Self-emp,466104,Masters,3,Single,Service,Wife,Asian,Female,4677,4368,29,India,<=50K
36,Government,79351,Bachelors,1,Divorced,Tech,Husband,Black,Male,7972,2987,6,United-States,<=50K
19,Private,191071,PhD,1,Married,Tech,Wife,Black,Female,4264,4088,7,Mexico,<=50K
29,Private,244085,Bachelors,11,Single,Tech,Own-child,Asian,Male,3133,3884,37,United-States,<=50K
34,Private,243883,Some-college,15,Married,Service,Not-in-family,Other,Male,1465,1031,53,United-States,<=50K
27,Private,80309,HS-grad,2,Married,Admin,Husband,Black,Male,4109,207,18,United-States,<=50K
51,Government,415662,HS-grad,6,Divorced,Admin,Wife,Black,Male,2211,1937,38,Mexico,<=50K
23,Private,171805,PhD,6,Married,Tech,Wife,Asian,Female,5539,1146,59,India,<=50K
25,Self-emp,129156,HS-grad,14,Married,Service,Own-child,Other,Female,9735,4299,1,Canada,<=50K
68,Self-emp,348144,HS-grad,3,Divorced,Admin,Husband,Black,Female,1689,2564,68,India,<=50K
28,Self-emp,451848,PhD,12,Single,Admin,Not-in-family,Black,Male,9763,442,44,United-States,<=50K
29,Government,31576,PhD,4,Married,Admin,Wife,Other,Male,7727,4784,47,Mexico,<=50K
26,Private,13320,Some-college,12,Divorced,Service,Husband,Black,Male,7764,832,35,India,<=50K
19,Private,151822,HS-grad,13,Married,Service,Not-in-family,Other,Female,4541,1461,60,United-States,<=50K
25,Private,113002,HS-grad,2,Married,Tech,Wife,Other,Male,3541,3516,52,Canada,<=50K
28,Government,194535,Some-college,2,Single,Exec,Wife,Asian,Female,818,1159,8,Canada,<=50K
53,Self-emp,36572,Masters,15,Married,Admin,Not-in-family,White,Female,4521,386,41,Canada,>50K
27,Self-emp,290092,Masters,7,Divorced,Exec,Not-in-family,Other,Female,1124,2041,3,United-States,<=50K
38,Private,126528,Masters,13,Married,Service,Own-child,Asian,Female,5660,2553,69,Mexico,<=50K
37,Self-emp,179898,Some-college,1,Single,Service,Husband,White,Male,5641,1718,14,India,<=50K
65,Self-emp,99051,HS-grad,7,Single,Service,Husband,Black,Female,1129,4775,26,Canada,<=50K
25,Government,300011,Some-college,14,Divorced,Exec,Own-child,White,Male,1702,4050,70,United-States,<=50K
53,Government,201303,Some-college,12,Single,Service,Wife,Other,Female,2001,3409,58,United-States,>50K
46,Government,469478,Masters,14,Married,Tech,Not-in-family,Other,Male,6912,689,40,India,<=50K
59,Government,232428,Bachelors,12,Single,Service,Not-in-family,Other,Male,3878,1169,51,Canada,>50K
29,Private,267412,HS-grad,14,Divorced,Sales,Not-in-family,Other,Female,7232,4988,5,United-States,<=50K
31,Government,213305,Masters,1,Single,Exec,Wife,Other,Female,9998,952,77,India,<=50K
65,Self-emp,316822,Bachelors,14,Single,Sales,Not-in-family,Asian,Female,6331,4879,32,Mexico,<=50K
67,Private,379705,Bachelors,6,Single,Service,Not-in-family,Other,Male,6035,4590,1,Mexico,<=50K
38,Self-emp,285107,PhD,3,Divorced,Tech,Own-child,Asian,Female,6523,3496,77,Mexico,<=50K
39,Self-emp,467576,HS-grad,8,Single,Admin,Wife,Black,Female,8111,3917,54,Canada,<=50K
38,Self-emp,59434,Bachelors,6,Single,Service,Husband,Other,Male,8736,4842,11,India,<=50K
61,Government,76617,Masters,11,Married,Tech,Own-child,Other,Female,2401,2484,53,India,>50K
67,Government,423485,PhD,2,Divorced,Exec,Own-child,White,Male,9481,1854,8,United-States,<=50K
47,Private,127569,HS-grad,8,Single,Sales,Husband,Black,Female,8974,3439,25,United-States,<=50K
56,Private,217384,Some-college,5,Divorced,Sales,Own-child,Other,Male,539,3231,40,United-States,<=50K
37,Government,369496,Masters,8,Single,Sales,Wife,Other,Male,5615,2597,32,India,<=50K
41,Self-emp,351876,Bachelors,8,Single,Exec,Not-in-family,Black,Female,2956,3983,28,United-States,<=50K
40,Private,379792,Bachelors,6,Single,Tech,Wife,Asian,Male,8077,2191,78,India,<=50K
24,Government,91494,Masters,2,Married,Exec,Husband,Other,Female,3722,2635,3,India,<=50K
26,Government,229977,Bachelors,8,Married,Sales,Husband,White,Female,5087,656,79,Mexico,<=50K
18,Government,87225,PhD,15,Married,Service,Own-child,Other,Male,6460,3812,62,United-States,<=50K
43,Self-emp,92867,HS-grad,15,Divorced,Admin,Wife,White,Female,2170,3340,27,Mexico,<=50K
55,Government,178600,PhD,11,Divorced,Exec,Wife,White,Male,3391,3911,45,Canada,>50K
55,Government,265669,Bachelors,6,Married,Exec,Husband,Other,Male,6942,1796,25,Canada,<=50K
61,Government,351116,Some-college,6,Divorced,Tech,Wife,Other,Male,1616,4363,61,Canada,<=50K
39,Government,468818,HS-grad,8,Single,Tech,Husband,White,Male,9108,1762,44,India,<=50K
61,Private,368405,HS-grad,1,Single,Exec,Wife,Black,Male,6458,4472,46,India,<=50K
27,Private,100748,Masters,2,Single,Sales,Wife,Black,Male,2756,3285,14,India,<=50K
23,Government,264265,Masters,12,Married,Admin,Wife,Other,Male,6853,1585,8,United-States,<=50K
34,Self-emp,174404,Some-college,12,Divorced,Tech,Husband,Asian,Male,7709,3563,48,Mexico,<=50K
68,Private,396625,HS-grad,9,Married,Sales,Own-child,Black,Female,1936,2440,14,India,<=50K
67,Government,494153,Some-college,11,Divorced,Service,Wife,Other,Female,3091,4584,65,Mexico,>50K
55,Private,139529,Masters,12,Single,Tech,Husband,Black,Male,968,4817,7,Mexico,<=50K
41,Private,482145,Masters,8,Married,Sales,Husband,Asian,Female,7297,3100,79,Mexico,<=50K
68,Self-emp,472422,HS-grad,12,Divorced,Sales,Wife,Other,Female,3203,3244,49,United-States,>50K
27,Government,494353,PhD,7,Divorced,Admin,Wife,Asian,Female,6499,1040,55,United-States,<=50K
25,Government,274395,Bachelors,7,Single,Admin,Own-child,Other,Female,5173,3127,13,Canada,<=50K
38,Self-emp,448933,Masters,5,Married,Service,Husband,Asian,Female,889,2273,73,Canada,<=50K
23,Self-emp,371252,Masters,2,Married,Sales,Husband,Black,Female,8984,3629,56,Mexico,<=50K
38,Government,168099,PhD,11,Married,Sales,Not-in-family,Black,Male,9173,2114,56,Canada,<=50K
56,Government,107382,PhD,6,Single,Admin,Husband,Asian,Female,7382,1677,15,Mexico,<=50K
41,Self-emp,489767,Some-college,10,Married,Tech,Own-child,Asian,Female,3531,3094,57,United-States,<=50K
50,Private,19583,Some-college,3,Single,Tech,Not-in-family,Asian,Female,801,998,58,United-States,<=50K
35,Private,60387,Bachelors,4,Single,Exec,Not-in-family,Other,Female,8234,2284,35,United-States,<=50K
45,Self-emp,295248,Bachelors,13,Single,Admin,Not-in-family,Black,Male,3349,1589,16,India,<=50K
69,Private,22224,HS-grad,10,Divorced,Exec,Wife,Other,Male,8005,1161,8,Mexico,<=50K
