age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23,Local-gov,344906,Assoc-acdm,11,Married-civ-spouse,Prof-specialty,Husband,White,Female,0,1000,36,United-States,<=50K
47,Self-emp-not-inc,58724,Masters,15,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,1000,39,India,>50K
42,Private,144364,Some-college,14,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,1000,37,United-States,<=50K
54,Federal-gov,280428,HS-grad,12,Never-married,Prof-specialty,Wife,White,Male,10000,0,28,United-States,<=50K
58,State-gov,251118,HS-grad,8,Divorced,Exec-managerial,Husband,White,Female,0,1000,31,India,<=50K
26,State-gov,298319,Assoc-acdm,16,Married-civ-spouse,Sales,Wife,Black,Female,0,0,49,United-States,<=50K
27,Local-gov,312192,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Male,5000,0,36,Mexico,<=50K
58,Self-emp-not-inc,267189,Masters,8,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,0,1000,39,Mexico,<=50K
25,Private,39509,Bachelors,12,Married-civ-spouse,Tech-support,Not-in-family,White,Male,5000,1000,43,Mexico,<=50K
55,Private,276558,Bachelors,14,Married-civ-spouse,Tech-support,Wife,White,Female,5000,0,43,United-States,>50K
61,State-gov,51745,Masters,14,Married-civ-spouse,Sales,Not-in-family,Black,Male,0,0,23,Canada,>50K
33,Federal-gov,127586,Bachelors,9,Divorced,Sales,Husband,White,Female,0,0,37,India,<=50K
26,State-gov,111486,Assoc-acdm,9,Divorced,Tech-support,Husband,White,Female,0,0,21,India,<=50K
34,Self-emp-not-inc,240704,HS-grad,16,Never-married,Tech-support,Own-child,Black,Female,10000,0,48,India,<=50K
57,Federal-gov,178141,HS-grad,15,Divorced,Tech-support,Not-in-family,Black,Female,5000,0,51,Mexico,<=50K
22,State-gov,338923,HS-grad,10,Never-married,Sales,Wife,Asian-Pac-Islander,Female,5000,0,49,Mexico,<=50K
24,Federal-gov,397927,HS-grad,11,Married-civ-spouse,Adm-clerical,Husband,Black,Female,5000,1000,46,United-States,<=50K
38,State-gov,368708,Some-college,12,Married-civ-spouse,Sales,Own-child,White,Male,0,0,47,United-States,<=50K
65,Federal-gov,51447,Masters,16,Divorced,Exec-managerial,Not-in-family,Black,Female,5000,0,38,Canada,>50K
40,Federal-gov,286030,HS-grad,11,Never-married,Adm-clerical,Husband,White,Female,10000,0,27,Canada,<=50K
54,Federal-gov,345962,Bachelors,16,Never-married,Prof-specialty,Wife,White,Male,0,0,41,Canada,>50K
18,Self-emp-not-inc,316915,Bachelors,14,Never-married,Sales,Not-in-family,White,Male,5000,1000,49,Canada,<=50K
28,State-gov,398324,Masters,13,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,25,Canada,<=50K
46,Local-gov,338282,Some-college,15,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,0,1000,27,Canada,<=50K
61,Local-gov,296265,Assoc-acdm,12,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,39,India,<=50K
26,State-gov,192030,Masters,9,Never-married,Adm-clerical,Own-child,White,Male,5000,0,52,Canada,<=50K
22,Private,248704,Some-college,8,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Female,10000,1000,60,Mexico,<=50K
36,Local-gov,30934,HS-grad,13,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,1000,26,India,<=50K
45,Local-gov,294707,Assoc-acdm,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,52,United-States,<=50K
51,Self-emp-not-inc,203173,Assoc-acdm,13,Divorced,Sales,Husband,White,Male,0,0,31,India,<=50K
59,Self-emp-not-inc,349226,HS-grad,15,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Female,0,0,48,United-States,<=50K
48,State-gov,164008,Some-college,8,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Female,5000,0,23,Canada,<=50K
36,Private,342441,HS-grad,16,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,1000,52,India,<=50K
21,Private,200060,Some-college,9,Divorced,Sales,Not-in-family,White,Female,5000,0,43,Canada,<=50K
36,Local-gov,197401,Some-college,8,Divorced,Exec-managerial,Not-in-family,Black,Male,10000,1000,38,Canada,<=50K
64,Self-emp-not-inc,194777,Assoc-acdm,9,Divorced,Sales,Wife,Black,Female,0,0,39,Mexico,<=50K
59,Federal-gov,68996,Masters,14,Divorced,Exec-managerial,Not-in-family,Black,Female,0,0,41,Mexico,>50K
30,Self-emp-not-inc,101235,Bachelors,9,Married-civ-spouse,Tech-support,Not-in-family,Asian-Pac-Islander,Female,10000,0,58,Mexico,<=50K
27,Self-emp-not-inc,383250,Bachelors,10,Divorced,Adm-clerical,Not-in-family,Black,Female,0,1000,59,Canada,<=50K
65,Self-emp-not-inc,299975,Some-college,11,Married-civ-spouse,Adm-clerical,Husband,Black,Female,5000,0,44,Mexico,<=50K
28,Federal-gov,92560,Bachelors,12,Never-married,Adm-clerical,Wife,Asian-Pac-Islander,Male,10000,0,38,United-States,<=50K
28,Local-gov,289144,Masters,10,Married-civ-spouse,Tech-support,Husband,Black,Female,0,1000,23,Mexico,<=50K
50,Private,216562,Masters,11,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,22,Canada,<=50K
48,Local-gov,255196,Bachelors,8,Never-married,Tech-support,Wife,White,Male,10000,1000,27,Canada,>50K
33,Private,45034,Masters,11,Married-civ-spouse,Prof-specialty,Own-child,White,Male,5000,0,60,India,<=50K
63,Private,342337,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,10000,0,24,United-States,<=50K
42,Private,353274,Some-college,14,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,<=50K
55,State-gov,306268,Masters,13,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,0,0,24,Mexico,<=50K
20,Self-emp-not-inc,42967,Masters,11,Never-married,Exec-managerial,Wife,Asian-Pac-Islander,Female,10000,1000,36,United-States,<=50K
59,Private,363792,Bachelors,13,Married-civ-spouse,Tech-support,Wife,Black,Female,5000,1000,41,India,<=50K
49,State-gov,292250,Some-college,12,Never-married,Adm-clerical,Not-in-family,Black,Male,10000,0,40,United-States,<=50K
23,State-gov,180692,Masters,15,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Female,0,1000,22,Canada,<=50K
57,State-gov,355266,Some-college,8,Never-married,Adm-clerical,Wife,Asian-Pac-Islander,Male,0,0,58,Mexico,<=50K
20,Private,143729,Bachelors,13,Married-civ-spouse,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,5000,0,43,Mexico,<=50K
22,Self-emp-not-inc,297589,Assoc-acdm,13,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,51,Mexico,<=50K
53,State-gov,156466,HS-grad,15,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Female,0,0,28,United-States,<=50K
46,Local-gov,66027,Bachelors,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,60,India,>50K
41,Self-emp-not-inc,83628,Assoc-acdm,11,Never-married,Sales,Own-child,White,Female,10000,0,49,India,<=50K
57,Private,182157,HS-grad,14,Divorced,Adm-clerical,Own-child,Black,Male,0,0,24,Mexico,<=50K
47,State-gov,87284,Assoc-acdm,16,Divorced,Prof-specialty,Husband,White,Female,10000,0,27,India,<=50K
37,Self-emp-not-inc,201415,Bachelors,16,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,59,United-States,<=50K
50,Federal-gov,100842,Bachelors,10,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Male,0,0,22,Canada,>50K
59,Local-gov,344066,Bachelors,8,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,5000,0,45,Canada,>50K
47,Private,102879,HS-grad,15,Married-civ-spouse,Adm-clerical,Own-child,White,Female,10000,0,40,Canada,<=50K
64,Self-emp-not-inc,214269,Masters,16,Divorced,Tech-support,Wife,White,Female,0,0,48,India,>50K
27,Private,172154,HS-grad,14,Divorced,Adm-clerical,Husband,White,Female,10000,0,32,India,<=50K
49,Local-gov,281493,Assoc-acdm,12,Married-civ-spouse,Tech-support,Not-in-family,Black,Female,0,0,57,Canada,<=50K
21,State-gov,279467,HS-grad,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,43,Mexico,<=50K
41,Local-gov,46821,HS-grad,16,Never-married,Exec-managerial,Wife,White,Female,10000,1000,55,Canada,<=50K
57,Private,87456,Assoc-acdm,9,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,0,0,58,Mexico,<=50K
50,Private,40402,HS-grad,10,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,0,40,Canada,<=50K
28,Federal-gov,176884,Some-college,13,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,5000,0,43,Canada,<=50K
61,Local-gov,326028,HS-grad,12,Divorced,Tech-support,Own-child,Black,Male,0,1000,30,Mexico,<=50K
27,Private,320191,Bachelors,9,Never-married,Tech-support,Own-child,Black,Female,0,1000,33,Mexico,<=50K
50,Local-gov,52653,Assoc-acdm,10,Divorced,Sales,Wife,Asian-Pac-Islander,Female,10000,1000,40,India,<=50K
47,State-gov,306404,Assoc-acdm,13,Divorced,Exec-managerial,Own-child,White,Male,0,0,34,Canada,<=50K
36,Local-gov,186220,Bachelors,15,Married-civ-spouse,Prof-specialty,Wife,Black,Male,10000,1000,45,Canada,>50K
27,Private,170801,Masters,9,Married-civ-spouse,Adm-clerical,Wife,Asian-Pac-Islander,Female,0,0,54,Canada,<=50K
53,Federal-gov,327668,Masters,11,Never-married,Tech-support,Husband,Asian-Pac-Islander,Male,0,0,46,Canada,<=50K
63,Private,377140,Some-college,10,Never-married,Prof-specialty,Husband,Black,Female,5000,0,38,Canada,<=50K
36,Private,361992,HS-grad,11,Divorced,Tech-support,Husband,Black,Male,0,1000,51,India,<=50K
65,Private,176443,Masters,9,Married-civ-spouse,Exec-managerial,Own-child,Asian-Pac-Islander,Female,0,1000,37,India,>50K
25,Self-emp-not-inc,260603,Masters,12,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,31,Mexico,<=50K
45,State-gov,65475,Assoc-acdm,14,Divorced,Tech-support,Husband,White,Female,0,0,20,Canada,<=50K
42,State-gov,192818,Bachelors,12,Divorced,Prof-specialty,Not-in-family,Black,Female,0,0,27,Mexico,>50K
37,Federal-gov,388866,Bachelors,12,Divorced,Tech-support,Wife,Black,Male,0,0,50,India,>50K
47,State-gov,238022,Assoc-acdm,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,10000,1000,53,Canada,<=50K
22,Private,52379,Assoc-acdm,16,Divorced,Sales,Husband,White,Female,10000,1000,27,India,<=50K
63,Local-gov,67679,Assoc-acdm,16,Married-civ-spouse,Tech-support,Own-child,White,Female,5000,0,55,Mexico,<=50K
61,Local-gov,153408,Masters,8,Divorced,Sales,Not-in-family,White,Female,0,0,54,United-States,>50K
22,Private,170518,Some-college,14,Never-married,Sales,Own-child,Black,Female,5000,1000,44,United-States,<=50K
61,Self-emp-not-inc,362640,Assoc-acdm,13,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0,0,21,Canada,<=50K
47,Local-gov,298886,Assoc-acdm,14,Never-married,Sales,Own-child,Black,Male,0,0,27,United-States,<=50K
60,Federal-gov,28202,Some-college,11,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Male,5000,0,35,United-States,<=50K
43,Self-emp-not-inc,302989,Some-college,11,Never-married,Sales,Wife,White,Female,10000,0,35,Canada,<=50K
27,Self-emp-not-inc,236824,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Female,10000,1000,23,Canada,<=50K
59,Federal-gov,187108,Some-college,14,Married-civ-spouse,Sales,Wife,Black,Male,10000,1000,35,India,<=50K
37,Private,314852,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,41,United-States,>50K
46,Self-emp-not-inc,47020,Masters,12,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,10000,0,50,India,<=50K
39,Private,131048,Masters,11,Divorced,Tech-support,Own-child,White,Male,5000,0,55,Canada,>50K
36,Local-gov,299786,Some-college,13,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,5000,0,50,Canada,<=50K
31,State-gov,237018,Masters,8,Divorced,Sales,Husband,White,Female,10000,1000,38,India,<=50K
30,Self-emp-not-inc,219145,Masters,11,Married-civ-spouse,Prof-specialty,Wife,Black,Female,5000,1000,30,Canada,<=50K
28,Federal-gov,276018,Bachelors,10,Divorced,Tech-support,Not-in-family,White,Male,0,1000,28,India,<=50K
22,Private,134672,Bachelors,16,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,5000,0,20,Mexico,<=50K
18,Federal-gov,398636,HS-grad,12,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,26,India,<=50K
33,Federal-gov,296014,Bachelors,12,Married-civ-spouse,Exec-managerial,Own-child,White,Female,5000,1000,56,India,<=50K
62,Private,362745,Bachelors,8,Never-married,Adm-clerical,Own-child,Black,Female,0,0,30,United-States,<=50K
49,State-gov,316671,Some-college,9,Divorced,Tech-support,Husband,White,Female,0,0,24,Canada,<=50K
52,Private,114033,Assoc-acdm,13,Never-married,Sales,Husband,Asian-Pac-Islander,Female,0,0,30,India,<=50K
54,Federal-gov,193921,Some-college,14,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,0,0,47,India,<=50K
22,Federal-gov,341842,Masters,14,Married-civ-spouse,Tech-support,Wife,Black,Female,0,0,55,Mexico,<=50K
45,Local-gov,64928,Bachelors,12,Never-married,Tech-support,Not-in-family,Black,Male,5000,0,44,Canada,>50K
41,Private,22723,HS-grad,12,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,47,Mexico,<=50K
53,Federal-gov,233932,Assoc-acdm,9,Never-married,Tech-support,Wife,Asian-Pac-Islander,Male,10000,0,44,United-States,<=50K
36,Local-gov,64406,Some-college,16,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,37,Canada,<=50K
35,Self-emp-not-inc,53170,Some-college,10,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,0,0,36,India,<=50K
64,Federal-gov,343312,Some-college,11,Married-civ-spouse,Tech-support,Husband,Black,Male,5000,0,59,Mexico,<=50K
39,State-gov,245766,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Female,0,1000,40,Canada,<=50K
65,Federal-gov,147100,Some-college,13,Married-civ-spouse,Exec-managerial,Own-child,Black,Male,10000,0,57,India,<=50K
61,Private,262022,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Female,0,0,35,Canada,<=50K
60,Local-gov,58779,Bachelors,15,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Female,10000,0,43,United-States,>50K
24,State-gov,107209,Bachelors,8,Divorced,Adm-clerical,Wife,Black,Male,0,0,36,India,<=50K
50,Federal-gov,324358,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Own-child,Black,Male,0,0,50,United-States,<=50K
36,Private,80853,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Black,Male,10000,1000,42,Mexico,<=50K
24,Local-gov,187200,Some-college,9,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,35,India,<=50K
53,Local-gov,262249,Bachelors,11,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Female,5000,0,59,India,>50K
46,Local-gov,223861,Assoc-acdm,8,Divorced,Sales,Husband,Black,Male,10000,0,54,India,<=50K
41,Private,157548,Masters,15,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,10000,0,42,Canada,<=50K
47,Self-emp-not-inc,373154,Assoc-acdm,12,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,35,Canada,<=50K
25,State-gov,383560,Bachelors,10,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Male,10000,1000,47,India,<=50K
49,Self-emp-not-inc,310934,Assoc-acdm,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,5000,0,42,United-States,<=50K
49,Local-gov,314430,Bachelors,16,Divorced,Adm-clerical,Own-child,Asian-Pac-Islander,Female,5000,1000,51,India,<=50K
23,Private,135620,Assoc-acdm,12,Never-married,Exec-managerial,Husband,Asian-Pac-Islander,Female,0,1000,56,Mexico,<=50K
53,Private,320267,Assoc-acdm,9,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,5000,0,47,United-States,<=50K
65,Private,255789,Bachelors,12,Married-civ-spouse,Tech-support,Own-child,White,Male,0,0,59,Mexico,<=50K
28,Self-emp-not-inc,128328,Assoc-acdm,11,Never-married,Prof-specialty,Wife,Asian-Pac-Islander,Female,10000,0,40,Canada,<=50K
36,State-gov,289701,Assoc-acdm,9,Never-married,Adm-clerical,Not-in-family,Black,Male,0,0,29,Canada,<=50K
33,Local-gov,94538,Some-college,12,Divorced,Adm-clerical,Own-child,Black,Male,0,1000,52,Canada,<=50K
62,Local-gov,191593,Masters,8,Divorced,Tech-support,Own-child,Asian-Pac-Islander,Female,0,1000,33,Mexico,>50K
31,State-gov,189274,Some-college,12,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,22,United-States,<=50K
58,Private,85136,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Male,0,0,30,Canada,<=50K
23,State-gov,63212,Masters,13,Divorced,Sales,Not-in-family,Black,Female,0,1000,25,United-States,<=50K
18,Local-gov,60862,Bachelors,10,Divorced,Sales,Own-child,White,Male,0,0,47,India,<=50K
48,Self-emp-not-inc,220838,HS-grad,9,Divorced,Tech-support,Not-in-family,Black,Female,0,0,44,India,<=50K
59,Federal-gov,24443,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,5000,1000,33,United-States,<=50K
24,Private,329106,Bachelors,14,Married-civ-spouse,Adm-clerical,Wife,White,Male,0,0,35,Canada,<=50K
62,State-gov,127712,HS-grad,16,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,Female,0,0,35,Mexico,<=50K
42,Self-emp-not-inc,281925,HS-grad,9,Divorced,Tech-support,Wife,Black,Male,5000,1000,43,India,<=50K
48,Private,327947,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,5000,0,60,Mexico,<=50K
45,Private,355826,Some-college,16,Divorced,Prof-specialty,Husband,Black,Male,0,0,52,India,<=50K
